task__calibration,task__created,task__id,task__info,task__n_answers,task__priority_0,task__project_id,task__quorum,task__state,taskinfo__img
0,2015-07-13T18:11:20.245018,298,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-10618758055.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-10618758055.jpg
0,2015-07-13T18:11:20.250506,299,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138641383.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138641383.jpg
0,2015-07-13T18:11:20.256014,300,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138641573.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138641573.jpg
0,2015-07-13T18:11:20.262716,301,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138641657.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138641657.jpg
0,2015-07-13T18:11:20.268731,302,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138642927.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138642927.jpg
0,2015-07-13T18:11:20.274779,303,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138647353.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138647353.jpg
0,2015-07-13T18:11:20.280192,304,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138648391.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138648391.jpg
0,2015-07-13T18:11:20.285481,305,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138649371.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138649371.jpg
0,2015-07-13T18:11:20.290984,306,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138672558.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138672558.jpg
0,2015-07-13T18:11:20.296534,307,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138677488.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138677488.jpg
0,2015-07-13T18:11:20.302093,308,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138703687.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138703687.jpg
0,2015-07-13T18:11:20.307828,309,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138710809.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138710809.jpg
0,2015-07-13T18:11:20.313283,310,"{""img"": ""https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138712809.jpg""}",30,0.0,11,0,ongoing,https://raw.githubusercontent.com/charoy/citizensourcing/master/corpus/assess/day2-8138712809.jpg
